2020-2021 NBA Stats | Player Box Score & Advanced Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Luguentz Dort,Okc,G,22.03,47,29.8,62.1,21.4,10.1,152,0.75,275,0.458,291,0.347,0.49,0.529,14.2,3.7,6.5,1.6,8.3,0.94,0.4,1.51,5.9,101.8,108.4
,Al Horford,Okc,C-F,34.9,28,27.9,58.2,21.8,7.3,22,0.818,208,0.51,152,0.368,0.528,0.538,14.2,6.7,12.6,3.4,20.1,0.89,0.93,1.04,9.8,111.1,108.2
,Derrick Rose,Det,G,32.57,15,22.8,47.4,30,12.3,50,0.84,145,0.455,39,0.333,0.465,0.517,14.2,1.9,4.7,4.2,32.5,1.2,0.27,1.93,8.5,104.1,111.2
,Kendrick Nunn,Mia,G,25.74,48,29.2,60.7,20.9,10.9,52,0.923,280,0.557,275,0.382,0.565,0.584,14.1,3.3,6.3,2.7,15.3,0.98,0.25,1.48,6.9,108.2,107.5
,Montrezl Harrell,Lal,F-C,27.26,61,23.9,49.7,21.5,9.4,224,0.714,544,0.636,10,0,0.625,0.653,14,6.5,15.2,1.1,7.6,0.72,0.72,1.11,7.8,126.9,100.7
,Jarrett Allen,Cle,C,23.02,41,30,62.5,17.1,12,190,0.7,327,0.645,14,0.357,0.641,0.671,13.9,9.8,18.2,1.6,8.4,0.46,1.56,1.41,8,128.4,109.9
,Marvin Bagley III,Sac,F,22.13,37,25.7,53.6,23.2,9.6,109,0.56,320,0.547,96,0.354,0.543,0.553,13.9,7.4,16.1,0.9,5.5,0.49,0.51,1.32,7,109,111.5
,LaMarcus Aldridge,San,C-F,35.78,21,25.9,54,22.8,7,37,0.838,173,0.509,75,0.36,0.518,0.545,13.7,4.5,9.2,1.7,10.3,0.38,0.86,0.95,7.3,107.3,108.8
,Josh Jackson,Det,G-F,24.21,56,25,52.2,26.6,14.5,193,0.731,419,0.494,230,0.304,0.481,0.521,13.7,4,9,2.2,14.5,0.86,0.73,2.21,7.9,97.6,103.7
,Carmelo Anthony,Por,F,36.92,61,24.8,51.6,23.5,7,143,0.881,415,0.431,290,0.4,0.501,0.542,13.6,3.2,7,1.5,9.4,0.72,0.57,0.95,6.5,110.3,111.7
,Chris Boucher,Tor,F-C,28.3,59,24,50,20.6,6.8,188,0.787,319,0.611,226,0.389,0.6,0.639,13.6,6.7,15.4,1.1,7.2,0.58,1.86,0.78,7.7,127.9,102.5
,Marcus Morris Sr.,Lac,F,31.66,50,26.5,55.2,20.2,7.4,72,0.806,258,0.465,272,0.471,0.589,0.607,13.6,4.2,8.8,1,5.6,0.64,0.26,0.9,5.8,116.4,106.7
,Derrick Rose,Nyk,G,32.57,27,26.1,54.3,24,8.9,61,0.852,255,0.482,65,0.354,0.492,0.529,13.6,2.6,5.3,4.1,26.1,0.93,0.52,1.26,8.1,111.2,108.7
,Marcus Smart,Bos,G,27.15,42,32.7,68.1,18.7,12.7,153,0.797,201,0.488,252,0.337,0.498,0.551,13.6,3.3,5.7,5.5,23.2,1.55,0.5,1.81,7.7,116.1,108.3
,Darius Bazley,Okc,F-G,20.88,46,31.3,65.2,21.1,13.6,130,0.708,320,0.494,237,0.291,0.469,0.501,13.4,7.4,12.4,1.6,7.9,0.57,0.54,2.11,6.9,93,111.5
,Rui Hachimura,Was,F,23.22,49,31.7,66,17.8,9.2,147,0.769,421,0.513,119,0.319,0.506,0.545,13.4,5.6,9.4,1.5,6.6,0.86,0.1,1.24,6.1,106.1,109.1
,Wendell Carter Jr.,Orl,C-F,22.04,16,27.2,56.7,19.9,11,55,0.709,134,0.582,20,0.3,0.565,0.598,13.3,8.9,17.2,1.6,9.8,1,0.94,1.38,8.4,118,104.4
,Danilo Gallinari,Atl,F,32.72,43,23.8,49.6,21.6,7.7,157,0.936,183,0.443,218,0.399,0.527,0.606,13.3,4,9.3,1.4,8.8,0.51,0.16,0.91,7.1,120.9,107.1
,Shake Milton,Phi,G-F,24.59,54,23.6,49.2,25.2,12.5,158,0.835,412,0.49,174,0.345,0.498,0.546,13.3,2.4,5.5,3,19.6,0.65,0.26,1.74,7.8,107.4,104.1
,Mikal Bridges,Pho,F,24.66,62,32.8,68.2,14.9,7.7,113,0.823,305,0.643,272,0.401,0.623,0.648,13.1,4.4,7.6,2.2,9,0.98,0.85,0.84,6.1,127.9,109.8
,Doug McDermott,Ind,F,29.32,55,24,50.1,20,7.1,80,0.813,307,0.638,231,0.377,0.607,0.626,13.1,3.6,8.1,1.3,8.1,0.31,0.07,0.8,6.6,120.1,111.8
,Malik Monk,Cha,G,23.23,32,21.7,45.2,24.7,11.8,65,0.815,157,0.497,165,0.424,0.568,0.598,13.1,2.7,6.7,1.9,14.2,0.5,0.13,1.47,7.5,109.6,111.8
,Goran Dragic,Mia,G,34.98,42,26.5,55.3,24,16.9,106,0.821,249,0.498,196,0.357,0.515,0.554,13,3.4,7.3,4.5,27.2,0.71,0.14,2.38,8.8,104.1,105.5
,Markelle Fultz,Orl,G,22.92,8,26.9,56,26.2,13.8,19,0.895,88,0.42,16,0.25,0.413,0.458,12.9,3.1,6.1,5.4,32.8,1,0.25,2.25,8.9,96,108.7
,Keldon Johnson,San,F-G,21.55,58,28.7,59.8,19.1,8.6,164,0.726,440,0.536,154,0.338,0.529,0.561,12.9,6.4,11.8,1.7,8.8,0.57,0.41,1.09,7.2,111.7,107
,Duncan Robinson,Mia,F,27.02,63,32,66.7,16.3,9.9,61,0.836,92,0.63,537,0.402,0.607,0.621,12.9,3.6,6.3,1.8,8.4,0.54,0.24,1.14,5.5,111.2,106.8
,LaMarcus Aldridge,Bro,C-F,35.78,5,26,54.3,19.9,11.8,10,1,43,0.488,5,0.8,0.563,0.611,12.8,4.8,10.3,2.6,14.3,0.6,2.2,1.4,8.3,116.6,107.4
,Tyrese Haliburton,Sac,G,21.16,56,30.1,62.7,18,12.2,52,0.846,313,0.527,284,0.405,0.565,0.58,12.8,3,5.5,5.3,24.2,1.32,0.48,1.54,7.8,117.6,118.2
,Kyle Kuzma,Lal,F,25.77,59,28.6,59.6,20.7,12.4,81,0.679,332,0.515,336,0.357,0.525,0.538,12.8,6.4,12.5,1.8,9.5,0.49,0.58,1.69,7.4,103.8,104
,Will Barton,Den,G,30.31,56,31,64.6,19.1,12.7,121,0.785,351,0.459,257,0.381,0.507,0.538,12.7,4,7.4,3.2,14,0.89,0.41,1.71,7,106.9,111.2
,Alec Burks,Nyk,G,29.78,44,25.8,53.7,21,8.2,111,0.865,226,0.42,218,0.408,0.515,0.561,12.6,4.5,9.5,2.2,12.9,0.68,0.27,1,7.7,113.6,103.2
,Myles Turner,Ind,C-F,25.1,47,31,64.5,16.5,11.9,142,0.782,226,0.606,206,0.335,0.557,0.599,12.6,6.5,11.4,1,4.5,0.85,3.38,1.43,5.6,111.6,104.1
,P.J. Washington,Cha,F,22.68,55,29.9,62.2,19.3,15.4,133,0.752,336,0.473,228,0.399,0.524,0.555,12.6,6.2,11.4,2.6,12.8,0.96,1.27,2.05,7.9,104.9,106
,Jalen Brunson,Dal,G,24.66,57,25.2,52.6,20,10.8,136,0.787,352,0.585,167,0.389,0.585,0.617,12.5,3.6,7.8,3.5,20.7,0.51,0,1.23,8.6,122.4,110.3
,Blake Griffin,Det,F,32.12,20,31.3,65.2,19.6,11.4,62,0.71,98,0.429,124,0.315,0.453,0.491,12.3,5.2,9.2,3.9,18.4,0.7,0.1,1.6,8,101.1,108.8
,Kevin Huerter,Atl,G-F,22.67,62,31.3,65.2,17.2,9.6,62,0.79,314,0.522,352,0.366,0.537,0.551,12.3,3.3,5.8,3.5,16.6,1.24,0.24,1.19,6.7,113,108.7
,Josh Richardson,Dal,G,27.62,48,31.7,66.1,17.7,10.8,95,0.905,273,0.524,228,0.316,0.501,0.542,12.3,3.5,6,2.8,12.2,0.88,0.44,1.38,6.2,109.5,109.5
,Seth Curry,Phi,G,30.68,49,28.7,59.8,17.3,10.2,67,0.896,244,0.48,237,0.426,0.558,0.585,12.2,2.1,4,2.7,13.6,0.78,0.16,1.18,5.7,114.4,108
,Gary Harris,Orl,G,26.62,10,28,58.3,20.8,7.5,39,0.872,74,0.351,33,0.364,0.411,0.491,12.2,1.9,3.6,2.7,14.5,0.5,0.4,1,5.7,104.2,112.7
,Joe Ingles,Uta,F-G,33.57,57,27.4,57.1,16.3,15.9,74,0.851,125,0.592,339,0.478,0.683,0.702,12.2,3.7,7.1,4.4,22.9,0.67,0.21,1.65,8.5,131.6,105.2
,Kyle Anderson,Mem,F-G,27.61,59,27.1,56.5,18.4,10.3,155,0.781,337,0.537,220,0.345,0.53,0.569,12.1,5.9,11.7,3.5,17.8,1.25,0.78,1.22,9.3,116,106.5
,Miles Bridges,Cha,F,23.11,62,28.9,60.2,16.8,14.3,99,0.859,296,0.588,259,0.409,0.6,0.627,12.1,6.1,11.5,2.2,11.1,0.68,0.76,1.61,7.6,115.1,107.9
,Lou Williams,Lac,G,34.51,42,21.9,45.5,26.4,12,119,0.866,311,0.437,119,0.378,0.473,0.529,12.1,2.1,5.4,3.4,23.2,0.93,0.1,1.57,8.1,107.9,110.8
,Lou Williams,Atl,G,34.51,15,24.1,50.2,24.5,12.8,41,0.878,118,0.39,41,0.439,0.459,0.514,12.1,2,4.6,3.5,22,0.53,0.07,1.73,7.3,104,114.2
,Thaddeus Young,Chi,F,32.85,58,24.1,50.3,21.8,16.3,86,0.628,516,0.599,37,0.27,0.586,0.594,12.1,6.1,14.2,4.2,27.1,1.14,0.55,1.98,11.2,117.2,104.2
,Cole Anthony,Orl,G,20.95,37,27,56.3,22.9,13.4,91,0.813,287,0.429,130,0.315,0.442,0.485,12,4.5,8.7,4.4,25.3,0.62,0.46,1.92,9.2,99.8,109.3
,Eric Bledsoe,Nor,G,31.39,61,29.7,62,18.2,12.4,154,0.714,306,0.477,311,0.35,0.502,0.532,12,3.4,6.3,3.7,16.6,0.79,0.28,1.59,7.2,107.7,112.6
,Victor Oladipo,Mia,G,28.98,4,27.8,57.9,26.3,21.6,18,0.667,26,0.462,17,0.235,0.419,0.471,12,3.5,7.1,3.5,19.3,1.75,0.5,3.5,7.6,85.5,99.7
,Hamidou Diallo,Okc,G,22.75,32,23.8,49.5,22.7,12.1,132,0.629,256,0.512,41,0.293,0.502,0.536,11.9,5.2,11.3,2.4,16.4,0.97,0.38,1.53,8.9,105.8,103.5
,Andre Drummond,Lal,C,27.72,11,25.2,52.5,22.8,17.9,39,0.641,102,0.52,0,0,0.52,0.55,11.9,10.5,23.2,1.7,10.5,1.55,0.91,2.36,9.5,103,88.6
,Cory Joseph,Det,G,29.69,16,26,54.2,19.4,14.5,38,0.868,111,0.55,31,0.387,0.556,0.602,11.9,3.1,6.5,5.4,33.1,1.19,0.44,1.69,9,120.3,107.5
,George Hill,Okc,G,34.99,14,26.3,54.9,16.6,8.4,25,0.84,63,0.619,57,0.386,0.6,0.63,11.8,2.1,4.1,3.1,18.2,0.86,0.14,0.86,6.5,126.5,115.2
,Enes Kanter,Por,C,28.94,62,25.4,53,17.5,11.1,146,0.781,506,0.609,1,0,0.607,0.639,11.8,11.4,24,1.3,7.7,0.48,0.69,1.15,8.8,132.5,106.1
,Brook Lopez,Mil,C,33.07,60,27.2,56.6,16.4,8.2,110,0.855,274,0.62,261,0.349,0.573,0.606,11.8,4.9,9.5,0.7,3.5,0.62,1.4,0.87,5,119.5,106.7
,Immanuel Quickley,Nyk,G,21.87,58,19.5,40.6,26,8,162,0.895,259,0.402,279,0.387,0.494,0.556,11.7,2.2,6.2,2.1,17.2,0.48,0.21,0.91,7.8,114.1,103.7
,James Wiseman,Gol,C,20.08,39,21.4,44.7,23.8,12.9,86,0.628,330,0.542,38,0.316,0.535,0.552,11.5,5.8,14.4,0.7,5,0.28,0.92,1.54,6.7,99.5,98.8
,Davis Bertans,Was,F,28.46,47,25,52.1,16.1,5.9,91,0.89,39,0.436,350,0.4,0.584,0.623,11.4,3.1,6.5,0.9,4.7,0.57,0.26,0.57,5.1,120.5,107.5
,Kevin Love,Cle,F-C,32.64,19,23.7,49.5,22.6,11.2,41,0.805,70,0.5,119,0.319,0.487,0.524,11.4,6.6,15.7,2.5,16.2,0.63,0.11,1.37,9.7,104.3,109.7
,Patty Mills,San,G,32.71,58,25.3,52.8,18.6,8.6,69,0.913,163,0.509,379,0.38,0.552,0.577,11.4,1.7,3.6,2.4,13.8,0.62,0.03,0.93,5.7,112.6,112.6
,Bobby Portis,Mil,F,26.21,57,21,43.8,20.6,8.3,56,0.75,375,0.541,140,0.479,0.589,0.601,11.4,7,17.4,1.1,7.5,0.72,0.39,0.86,8.5,120,102.4
,Saddiq Bey,Det,F,22.06,60,25.8,53.8,18.1,7.4,116,0.871,177,0.458,369,0.377,0.53,0.569,11.3,4.2,9.1,1.2,7.3,0.73,0.15,0.8,6,112.2,109.4
,Jarrett Allen,Bro,C,23.02,12,26.6,55.5,15.5,19.3,61,0.754,65,0.677,0,0,0.677,0.73,11.2,10.4,21.8,1.7,8.3,0.58,1.58,1.83,8.8,134.3,106.7
,Rudy Gay,San,F-G,34.7,53,21.7,45.2,23.3,8.6,87,0.793,297,0.444,226,0.381,0.499,0.526,11.2,4.8,11.8,1.5,10,0.7,0.58,1,8,102.9,104.3
,Elfrid Payton,Nyk,G,27.18,54,25,52.1,23.4,12.9,102,0.686,482,0.471,93,0.29,0.465,0.488,11.2,3.6,7.8,3.4,21.9,0.76,0.17,1.7,8.2,101.2,105.6
,Cam Reddish,Atl,F-G,21.66,26,28.9,60.1,19.3,10.2,82,0.817,137,0.46,126,0.262,0.428,0.488,11.2,4,7.6,1.3,6.6,1.27,0.35,1.31,5.4,99.1,106.4
,Jae'Sean Tate,Hou,F,25.5,62,29.2,60.9,15.7,11.3,119,0.714,372,0.618,166,0.295,0.564,0.586,11.2,5.3,9.7,2.3,12.2,1.29,0.55,1.21,7.1,117.2,105.9
,Aaron Gordon,Den,F,25.62,17,26.3,54.9,17.3,11.8,33,0.727,94,0.638,48,0.313,0.581,0.604,11.1,4.8,10.4,2.4,12.3,0.76,0.53,1.24,7.7,119,109.4
,Grayson Allen,Mem,G,25.56,48,25.6,53.2,17,9.5,87,0.862,139,0.475,270,0.396,0.554,0.59,11,3.2,6.7,2.1,11.2,0.94,0.17,0.98,6.6,115.4,110
,Naz Reid,Min,C-F,21.67,61,19.2,39.9,22.4,9.8,148,0.73,351,0.587,146,0.349,0.568,0.599,11,4.5,12.6,1,8.9,0.49,1.07,1,7.6,114,104.8
,Wendell Carter Jr.,Chi,C-F,22.04,32,24.7,51.5,19.1,14,111,0.739,230,0.526,22,0.364,0.528,0.578,10.9,7.8,17.6,2.2,12.2,0.56,0.75,1.53,9.3,114.9,101.4
,Serge Ibaka,Lac,F,31.61,39,23.6,49.1,19.8,10.7,45,0.822,239,0.577,108,0.352,0.562,0.582,10.9,6.7,15.9,1.7,10.8,0.23,1.18,1.13,8.5,116.9,105.5
,Jordan Poole,Gol,G,21.86,41,18.5,38.6,24.6,8.9,80,0.888,158,0.506,206,0.35,0.516,0.56,10.9,1.6,4.7,1.9,15.7,0.54,0.17,0.95,6.9,107.7,107.7
,Lonnie Walker IV,San,G-F,22.37,49,24.9,51.9,20.2,9.6,64,0.797,261,0.464,221,0.357,0.497,0.519,10.8,2.6,5.4,1.6,9.3,0.49,0.29,1.1,5.7,98.9,109.3
,Dwayne Bacon,Orl,G-F,25.66,62,25.5,53.1,19.3,5.5,142,0.831,422,0.445,183,0.306,0.45,0.496,10.7,3,6.2,1.2,7.3,0.56,0.06,0.63,5.3,102,112.2
,Brandon Clarke,Mem,F-G,24.61,51,24.8,51.6,17.3,6,97,0.68,375,0.557,67,0.284,0.537,0.558,10.6,5.5,11.9,1.7,9.7,1.04,0.84,0.61,7.5,117.2,108.3
,Daniel Gafford,Was,F-C,22.58,13,17.8,37.1,20.7,10.4,42,0.619,85,0.659,0,0,0.659,0.667,10.6,6,17.9,0.5,4.1,0.77,2,0.92,7.1,126.1,103
,Jeff Green,Bro,F,34.67,58,27.2,56.6,15.4,8.3,130,0.785,243,0.556,211,0.384,0.565,0.602,10.6,3.8,7.8,1.6,8,0.57,0.43,0.79,5.9,118.8,110.9
,Reggie Bullock,Nyk,G-F,30.12,56,29,60.4,14.4,7.4,42,0.881,139,0.518,330,0.412,0.588,0.604,10.5,3.4,6.3,1.5,7.4,0.77,0.16,0.7,5.2,118.1,105.1
,Reggie Jackson,Lac,G,31.04,60,22.9,47.6,19.9,11,77,0.805,281,0.459,235,0.438,0.549,0.572,10.5,2.9,7.1,3.2,19.8,0.6,0.1,1.13,8,115.9,106.3
,Justin Holiday,Ind,F-G,32.07,61,30.7,64,14,8,69,0.783,146,0.486,390,0.374,0.541,0.56,10.4,3.7,6.5,1.7,7.1,1.2,0.44,0.8,5.2,109.2,111.1
,Ty Jerome,Okc,G-F,23.81,29,24.3,50.6,18.6,14,28,0.714,99,0.485,152,0.408,0.562,0.573,10.4,2.9,6.1,3.6,22.7,0.62,0.14,1.48,7.9,110.8,110
,Jusuf Nurkic,Por,C,26.68,27,23.1,48,21.8,17.4,78,0.641,202,0.505,25,0.36,0.509,0.538,10.4,8.4,19.4,3.3,21.4,0.96,0.96,2.04,11.4,109.3,102.1
,Delon Wright,Det,G,29.01,36,29.2,60.9,15.8,12.6,90,0.789,204,0.515,89,0.348,0.517,0.562,10.4,4.6,8.7,5,25.7,1.58,0.53,1.33,8.5,119.3,110.4
,Donte DiVincenzo,Mil,G,24.24,57,27.5,57.2,17,13.1,57,0.737,233,0.464,292,0.377,0.52,0.534,10.3,5.5,10.6,3.1,14.3,1.16,0.21,1.46,8.1,109.6,106.7
,Monte Morris,Den,G,25.84,44,26.1,54.5,16.3,7.5,71,0.789,235,0.532,130,0.377,0.544,0.572,10.3,2.2,4.7,3.2,16.5,0.7,0.3,0.73,6.4,120.7,114.1
,Mason Plumlee,Det,F-C,31.15,55,26.8,55.8,16.2,18.9,169,0.669,364,0.626,7,0,0.615,0.639,10.3,9.3,19.3,3.6,20.8,0.76,0.87,1.89,10.5,121.9,99.6
,Nickeil Alexander-Walker,Nor,G,22.66,41,20.7,43.2,22.8,12.4,52,0.75,191,0.487,187,0.348,0.504,0.524,10.2,3.1,8.2,2,13.7,0.98,0.51,1.39,7.7,100.7,106.5
,Jeremy Lamb,Ind,G-F,28.91,36,21.3,44.3,18.5,6.6,75,0.947,148,0.459,128,0.406,0.529,0.587,10.1,3.6,9.3,1.5,9.6,0.94,0.64,0.61,7.1,118.9,106.3
,Taurean Prince,Cle,G,27.1,29,23.7,49.4,19.7,11.6,49,0.837,135,0.385,118,0.415,0.496,0.532,10.1,3.7,8.8,2.4,15.2,0.69,0.52,1.24,7.6,105.6,108.8
,De'Anthony Melton,Mem,G,22.92,41,20.6,42.9,19.7,12.7,45,0.778,157,0.484,167,0.443,0.577,0.595,10,3.2,8.3,2.7,18.5,1.22,0.49,1.22,8.6,114.3,105.1
,Kelly Olynyk,Mia,F-C,30.03,43,26.9,56,17.5,12.3,40,0.775,134,0.634,242,0.318,0.533,0.549,10,6.1,12.8,2.1,12,0.93,0.6,1.28,7.5,105.2,100.1
,Otto Porter Jr.,Chi,F,27.9,25,21.6,45,19.5,10.3,37,0.838,107,0.477,95,0.4,0.535,0.566,9.9,5.5,14.3,2,13,0.48,0.16,1,8.8,113.6,108
,Khem Birch,Tor,C,28.58,9,27.3,56.8,13.6,7.8,19,0.579,53,0.642,10,0.3,0.611,0.617,9.8,7.1,14.4,1.1,6,0.89,1.44,0.67,6.2,130.4,108.1
,Jae Crowder,Pho,F,30.81,55,27.4,57.1,15.6,9.9,67,0.761,105,0.467,341,0.381,0.547,0.567,9.8,4.8,9.9,2.1,10.2,0.82,0.4,0.95,6.7,111.6,105.7
,Blake Griffin,Bro,F,32.12,16,21,43.8,19.1,14.2,41,0.78,64,0.578,45,0.378,0.573,0.618,9.8,4.7,12.4,2.4,15.8,0.88,0.56,1.31,9.1,119.6,101.7
,Cameron Johnson,Pho,F,25.15,56,23.9,49.9,16.9,7.5,52,0.865,137,0.591,311,0.363,0.559,0.58,9.8,3.3,7.7,1.5,8.2,0.57,0.29,0.68,6.1,114.1,108.6
,Theo Maledon,Okc,G,19.88,56,27.5,57.3,18.9,18.3,109,0.743,252,0.397,258,0.349,0.461,0.494,9.8,3.4,6.5,3.5,18.7,0.89,0.13,2.23,7.1,94,109.3
,Ben McLemore,Lal,G,28.21,11,17.9,37.2,22.2,9,21,0.762,18,0.556,64,0.375,0.561,0.592,9.8,1.8,5.7,0.5,4.6,0.18,0.27,0.82,4.6,110.3,97.7
,Cedi Osman,Cle,F,26.06,52,24.7,51.6,20.1,9.8,82,0.768,220,0.445,278,0.302,0.45,0.478,9.8,3.3,7.5,2.7,16.3,0.92,0.17,1.12,7.2,100.2,109
,Dorian Finney-Smith,Dal,F,27.99,50,32.3,67.2,11.9,7.2,33,0.818,135,0.593,252,0.393,0.59,0.603,9.7,5.6,9.5,1.6,6.6,0.92,0.42,0.62,5.5,125.5,108.7
,Gary Harris,Den,G,26.62,19,30.6,63.8,13.8,7.6,30,0.733,81,0.556,75,0.32,0.519,0.544,9.7,2.5,4.6,1.7,7.1,0.89,0.21,0.74,4.5,112,111.5
,Mike Muscala,Okc,F-C,29.83,35,18.4,38.4,20.1,6.9,36,0.917,83,0.614,184,0.37,0.573,0.599,9.7,3.8,10.7,0.8,7,0.23,0.31,0.6,6.7,115.3,107.8
,Daniel Theis,Chi,F,29.07,17,23.7,49.5,17.4,11.7,30,0.633,86,0.674,44,0.227,0.562,0.576,9.7,5.3,12.5,2,11.9,0.47,0.65,1.12,7.9,113.6,108.4
,Kentavious Caldwell-Pope,Lal,G,28.19,57,27.6,57.6,14.5,11.1,85,0.859,182,0.451,246,0.419,0.553,0.587,9.6,2.6,5.4,1.6,8.3,0.84,0.35,1.02,5,112,105.4
,DeMarcus Cousins,Hou,C,30.71,25,20.2,42.2,23.2,14.2,59,0.746,94,0.426,116,0.336,0.469,0.511,9.6,7.6,20.1,2.4,18.1,0.84,0.72,1.56,11.1,101.5,96.3
,Wayne Ellington,Det,G,33.41,44,21.9,45.6,16.4,8,35,0.8,60,0.55,259,0.421,0.616,0.629,9.6,1.9,4.7,1.4,10.1,0.39,0.2,0.66,5.4,119.6,111.9
,Bryn Forbes,Mil,G,27.77,60,19.1,39.7,18.5,6.9,52,0.769,158,0.5,288,0.434,0.598,0.611,9.6,1.5,4,0.6,4.3,0.32,0,0.58,4.3,115.8,111
,Furkan Korkmaz,Phi,G-F,23.77,49,19.7,41,20.5,9.3,79,0.734,141,0.454,242,0.388,0.535,0.56,9.6,2,5.6,1.3,9.8,0.96,0.16,0.88,5.9,108.7,105.7
,Yogi Ferrell,Cle,G,20,2,20.3,42.2,26.8,12.1,2,0,12,0.417,9,0.333,0.452,0.434,9.5,3.5,9.7,2.5,20.3,1.5,0.5,1.5,8.6,90.2,104.7
,Danny Green,Phi,G,33.85,60,28.2,58.8,13.8,11,35,0.771,100,0.44,368,0.413,0.581,0.591,9.5,3.7,7.3,1.7,8.3,1.33,0.85,1,5.5,114.2,104.8
,Jaylen Nowell,Min,G,21.81,38,18.8,39.1,21.7,7.3,51,0.824,179,0.497,139,0.338,0.502,0.53,9.5,2.3,6.8,1.6,12.9,0.55,0.26,0.71,7,106.7,110.5
,Eric Paschall,Gol,F,24.48,39,17.3,36.1,23.5,11,89,0.719,240,0.529,53,0.321,0.52,0.555,9.5,3.2,9.8,1.3,11.8,0.31,0.18,1.05,7.9,105.1,105.8
,Daniel Theis,Bos,F-C,29.07,42,24.5,50.9,15,11.4,67,0.687,193,0.653,95,0.347,0.609,0.625,9.5,5.2,11.9,1.6,9.3,0.6,1.02,0.98,7,122.1,103
,Oshae Brissett,Ind,F-G,22.86,10,20,41.6,15.6,4.1,27,0.741,27,0.593,31,0.452,0.638,0.673,9.4,4.9,13.3,0.6,4.1,0.6,1,0.3,6,137,110.2
,Svi Mykhailiuk,Okc,G-F,23.89,22,23.7,49.4,19.1,16.7,15,0.667,95,0.547,93,0.333,0.524,0.532,9.4,3.3,7.3,1.8,11.6,0.73,0.23,1.77,6.5,95,113.3
,Landry Shamet,Bro,G,24.13,51,22.2,46.3,17.4,9.2,65,0.862,106,0.472,278,0.388,0.552,0.582,9.4,1.8,4.5,1.5,9,0.53,0.1,0.82,5.3,112.1,111.8
,Larry Nance Jr.,Cle,F-C,28.32,35,31.2,65,13.9,15.8,49,0.612,158,0.551,114,0.36,0.546,0.557,9.3,6.7,12.1,3.1,14.2,1.74,0.49,1.57,7.4,108.9,107.6
,D.J. Augustin,Hou,G,33.47,14,19.2,39.9,20.7,16.2,34,0.971,44,0.477,50,0.36,0.511,0.592,9.2,2.3,6.3,4,31.4,0.43,0,1.5,9.1,117.7,112.3
,Josh Hart,Nor,G,26.15,47,28.7,59.8,13.6,11.8,89,0.775,150,0.587,193,0.326,0.532,0.568,9.2,8,15.4,2.3,10.5,0.81,0.26,1.09,7.7,115.5,106.2
,David Nwaba,Hou,G-F,28.29,30,22.6,47.1,16.6,6.4,68,0.691,154,0.578,63,0.27,0.528,0.559,9.2,3.9,9.2,1,7,1,0.7,0.57,5.8,115,108
,Ivica Zubac,Lac,C,24.12,64,22.5,46.8,15.4,14.8,156,0.788,356,0.652,3,0,0.646,0.686,9.2,7.3,18.2,1.3,7.8,0.38,0.88,1.16,7.9,133.8,101.2
,Desmond Bane,Mem,G,22.84,57,22,45.8,16.1,10.1,43,0.837,197,0.487,213,0.455,0.589,0.605,9.1,3,7.2,1.7,10.4,0.61,0.19,0.84,6.5,115.3,107.1
,James Johnson,Nor,F,34.19,12,25.6,53.3,17.6,14.1,24,0.708,62,0.5,37,0.27,0.465,0.497,9.1,3.9,8.4,2.6,13.5,0.83,1.25,1.5,7.1,100.2,105.1
,Isaiah Roby,Okc,F,23.23,51,23.7,49.4,17.7,19,104,0.731,272,0.551,88,0.33,0.538,0.571,9.1,5.8,12.7,1.9,12.2,0.84,0.67,1.86,7.8,104.5,103
,Dario Saric,Pho,F-C,27.06,41,17.5,36.5,23.4,13.5,78,0.872,175,0.526,118,0.339,0.519,0.568,9.1,4,12.8,1.3,10.9,0.59,0.07,1.24,8.3,108.2,100.4
,Patrick Williams,Chi,F,19.67,61,28,58.3,14.7,14.6,99,0.758,332,0.515,121,0.38,0.53,0.559,9.1,4.6,9.2,1.4,6.7,0.87,0.64,1.39,5.5,103.8,109.4
